ticket_id,priority,product,region,resolution_hours
T001755,P1,Analytics Pro,EMEA,3.3
T001756,P3,Core Suite,AMER,23.7
T001757,P2,Automation Edge,AMER,12.9
T001758,P3,Automation Edge,AMER,36.2
T001759,P2,Core Suite,EMEA,18
T001760,P1,Core Suite,APAC,8.6
T001761,P3,Analytics Pro,AMER,36
T001762,P3,Core Suite,AMER,32.1
T001763,P2,Core Suite,AMER,22.4
T001764,P2,Analytics Pro,AMER,19.7
T001765,P2,Core Suite,EMEA,22
T001766,P2,Analytics Pro,AMER,11.5
T001767,P2,Automation Edge,AMER,13
T001768,P3,Automation Edge,EMEA,42
T001769,P3,Analytics Pro,AMER,25.7
T001770,P2,Core Suite,EMEA,11.4
T001771,P3,Analytics Pro,AMER,25.4
T001772,P2,Analytics Pro,AMER,16.9
T001773,P2,Analytics Pro,AMER,13.2
T001774,P1,Analytics Pro,AMER,3.7
T001775,P3,Core Suite,APAC,35.3
T001776,P3,Analytics Pro,AMER,21.3
T001777,P2,Automation Edge,AMER,15.2
T001778,P2,Analytics Pro,APAC,14.4
T001779,P3,Automation Edge,AMER,48.3
T001780,P3,Core Suite,EMEA,29.5
T001781,P2,Analytics Pro,AMER,21.4
T001782,P3,Core Suite,EMEA,27.7
T001783,P2,Automation Edge,AMER,21.6
T001784,P3,Automation Edge,AMER,29.6
T001785,P3,Core Suite,EMEA,35.7
T001786,P2,Core Suite,APAC,17.6
T001787,P3,Core Suite,AMER,40.2
T001788,P2,Automation Edge,EMEA,21.8
T001789,P2,Automation Edge,EMEA,24
T001790,P3,Analytics Pro,EMEA,29.4
T001791,P2,Core Suite,EMEA,24.3
T001792,P3,Core Suite,AMER,50.7
T001793,P3,Analytics Pro,AMER,43.2
T001794,P3,Automation Edge,EMEA,45.2
T001795,P3,Automation Edge,EMEA,50.3
T001796,P3,Analytics Pro,AMER,49.6
T001797,P3,Core Suite,AMER,40.4
T001798,P2,Core Suite,AMER,10.1
T001799,P3,Automation Edge,APAC,27.1
T001800,P1,Analytics Pro,AMER,6.5
T001801,P3,Core Suite,AMER,22.6
T001802,P3,Analytics Pro,AMER,42.4
T001803,P3,Analytics Pro,AMER,40.9
T001804,P3,Core Suite,AMER,49
T001805,P3,Core Suite,APAC,46.5
T001806,P1,Core Suite,AMER,5.5
T001807,P2,Core Suite,APAC,15.4
T001808,P2,Analytics Pro,EMEA,20.8
T001809,P3,Core Suite,EMEA,31.9
T001810,P3,Automation Edge,AMER,24.4
T001811,P3,Core Suite,AMER,37.1
T001812,P2,Automation Edge,EMEA,19.4
T001813,P3,Automation Edge,AMER,43.3
T001814,P3,Core Suite,APAC,52.1
T001815,P2,Analytics Pro,AMER,24.5
T001816,P3,Analytics Pro,EMEA,53.4
T001817,P2,Automation Edge,AMER,26.8
T001818,P1,Automation Edge,AMER,3.7
T001819,P3,Analytics Pro,AMER,43.4
T001820,P2,Analytics Pro,APAC,14.7
T001821,P3,Core Suite,AMER,34.8
T001822,P2,Core Suite,AMER,16.8
T001823,P3,Analytics Pro,EMEA,50.5
T001824,P2,Analytics Pro,AMER,17.5
T001825,P3,Analytics Pro,APAC,35.2
T001826,P1,Core Suite,AMER,4
T001827,P3,Analytics Pro,AMER,28.5
T001828,P3,Core Suite,APAC,26.7
T001829,P3,Core Suite,AMER,34.3
T001830,P2,Analytics Pro,EMEA,23.8
T001831,P2,Core Suite,AMER,12.5
T001832,P3,Automation Edge,EMEA,41.7
T001833,P2,Core Suite,APAC,23.1
T001834,P3,Analytics Pro,APAC,39.6
T001835,P3,Core Suite,EMEA,27
T001836,P3,Automation Edge,EMEA,31.8
T001837,P3,Core Suite,AMER,37.2
T001838,P1,Analytics Pro,APAC,8.6
T001839,P3,Core Suite,AMER,48.6
T001840,P2,Core Suite,APAC,13.6
T001841,P2,Automation Edge,AMER,19.8
T001842,P3,Automation Edge,EMEA,51
T001843,P2,Analytics Pro,EMEA,24.3
T001844,P3,Automation Edge,AMER,34.9
T001845,P2,Analytics Pro,APAC,20.3
T001846,P3,Analytics Pro,EMEA,28.9
T001847,P3,Analytics Pro,AMER,20.2
T001848,P3,Analytics Pro,AMER,25.7
T001849,P3,Analytics Pro,EMEA,19.1
T001850,P3,Analytics Pro,AMER,53
T001851,P2,Core Suite,AMER,26.9
T001852,P2,Analytics Pro,AMER,12.5
T001853,P2,Automation Edge,AMER,16.5
T001854,P1,Analytics Pro,AMER,4.8
T001855,P2,Core Suite,AMER,19.9
T001856,P2,Core Suite,EMEA,17.8
T001857,P2,Analytics Pro,AMER,11.3
T001858,P3,Core Suite,EMEA,52.1
T001859,P3,Core Suite,EMEA,41.6
T001860,P3,Core Suite,AMER,37.5
T001861,P3,Automation Edge,AMER,40.2
T001862,P3,Core Suite,AMER,38.1
T001863,P3,Automation Edge,APAC,33.3
T001864,P3,Analytics Pro,APAC,33.4
T001865,P3,Core Suite,AMER,29.8
T001866,P3,Core Suite,AMER,38.4
T001867,P3,Analytics Pro,APAC,38.5
T001868,P2,Automation Edge,AMER,22.3
T001869,P3,Analytics Pro,AMER,31.5
T001870,P3,Core Suite,AMER,21.4
T001871,P2,Core Suite,EMEA,9.7
T001872,P1,Analytics Pro,APAC,6.2
T001873,P3,Core Suite,APAC,46
T001874,P3,Automation Edge,EMEA,20.6
T001875,P2,Core Suite,EMEA,26.2
T001876,P2,Analytics Pro,AMER,14.5
T001877,P3,Analytics Pro,EMEA,24.3
T001878,P3,Core Suite,EMEA,28.2
T001879,P2,Core Suite,AMER,21.1
T001880,P1,Automation Edge,EMEA,8.3
T001881,P2,Automation Edge,EMEA,21.6
T001882,P3,Core Suite,AMER,37.7
T001883,P3,Automation Edge,AMER,51.5
T001884,P3,Core Suite,AMER,48.2
T001885,P3,Core Suite,AMER,47.3
T001886,P3,Core Suite,EMEA,43.2
T001887,P2,Core Suite,AMER,16.6
T001888,P2,Core Suite,AMER,10.5
T001889,P3,Automation Edge,APAC,44.2
T001890,P3,Automation Edge,EMEA,20.9
T001891,P3,Core Suite,EMEA,37.9
T001892,P2,Automation Edge,AMER,15.1
T001893,P3,Analytics Pro,AMER,41.7
T001894,P3,Core Suite,EMEA,34.5
T001895,P3,Analytics Pro,AMER,51.9
T001896,P2,Analytics Pro,APAC,24.9
T001897,P3,Analytics Pro,AMER,50.5
T001898,P3,Automation Edge,AMER,39.8
T001899,P3,Automation Edge,APAC,29
T001900,P2,Analytics Pro,AMER,11.5
T001901,P3,Analytics Pro,APAC,28.5
T001902,P3,Core Suite,AMER,35.9
T001903,P3,Analytics Pro,AMER,37.9
T001904,P3,Core Suite,AMER,31.7
T001905,P3,Core Suite,EMEA,21
T001906,P3,Analytics Pro,AMER,50.8
T001907,P2,Analytics Pro,APAC,9.5
T001908,P3,Core Suite,APAC,41.6
T001909,P3,Analytics Pro,AMER,50.5
T001910,P3,Automation Edge,APAC,31.1
T001911,P3,Analytics Pro,EMEA,23.1
T001912,P2,Automation Edge,EMEA,22.4
T001913,P2,Automation Edge,EMEA,11.8
T001914,P3,Analytics Pro,AMER,44.5
T001915,P2,Core Suite,APAC,14.9
T001916,P2,Core Suite,AMER,24.8
T001917,P3,Automation Edge,AMER,25.6
T001918,P2,Analytics Pro,AMER,22.3
T001919,P2,Automation Edge,APAC,10.3
T001920,P3,Automation Edge,EMEA,54.2
T001921,P3,Core Suite,AMER,25.7
T001922,P3,Core Suite,APAC,35.8
T001923,P3,Core Suite,APAC,51.1
T001924,P3,Core Suite,EMEA,25.2
T001925,P3,Automation Edge,AMER,38.1
T001926,P3,Core Suite,EMEA,23.1
T001927,P1,Automation Edge,AMER,7.5
T001928,P3,Analytics Pro,AMER,27.7
T001929,P3,Automation Edge,AMER,27.4
T001930,P2,Core Suite,AMER,11
T001931,P3,Analytics Pro,APAC,48.4
T001932,P3,Analytics Pro,EMEA,49.3
T001933,P2,Automation Edge,AMER,17.5
T001934,P2,Core Suite,AMER,21.5
T001935,P3,Automation Edge,AMER,20.9
T001936,P3,Core Suite,EMEA,19.6
T001937,P2,Analytics Pro,AMER,13.6
T001938,P2,Analytics Pro,AMER,14.9
T001939,P3,Automation Edge,APAC,41.3
T001940,P3,Analytics Pro,AMER,20.9
T001941,P2,Core Suite,APAC,18.5
T001942,P2,Automation Edge,AMER,26.8
T001943,P3,Analytics Pro,AMER,44.3
T001944,P2,Core Suite,EMEA,24.2
T001945,P3,Automation Edge,AMER,39.7
T001946,P3,Automation Edge,AMER,35.6
T001947,P3,Analytics Pro,AMER,43.1
T001948,P2,Analytics Pro,AMER,20.4
T001949,P2,Automation Edge,AMER,12
T001950,P2,Automation Edge,AMER,12.4
T001951,P2,Automation Edge,AMER,10.1
T001952,P3,Analytics Pro,AMER,22.6
T001953,P2,Core Suite,AMER,14
T001954,P1,Automation Edge,AMER,8.7
T001955,P3,Core Suite,APAC,36.8
T001956,P3,Analytics Pro,APAC,39.3
T001957,P2,Automation Edge,EMEA,14.9
T001958,P3,Automation Edge,AMER,34.9
T001959,P2,Analytics Pro,AMER,10.3
T001960,P2,Automation Edge,APAC,23.3
T001961,P3,Core Suite,AMER,47.4
T001962,P3,Core Suite,AMER,31.7
T001963,P1,Automation Edge,AMER,6.7
T001964,P2,Automation Edge,APAC,18.9
T001965,P2,Analytics Pro,EMEA,19.8
T001966,P1,Analytics Pro,AMER,5.4
T001967,P3,Core Suite,APAC,50.1
T001968,P1,Automation Edge,EMEA,4.2
T001969,P1,Analytics Pro,AMER,7
T001970,P2,Analytics Pro,AMER,20.9
T001971,P2,Analytics Pro,AMER,14.4
T001972,P2,Analytics Pro,APAC,16.8
T001973,P3,Analytics Pro,AMER,33.3
T001974,P2,Analytics Pro,AMER,19.8
T001975,P3,Analytics Pro,AMER,52.3
T001976,P2,Core Suite,AMER,9.5
T001977,P3,Analytics Pro,AMER,22.4
T001978,P3,Core Suite,APAC,44.7
T001979,P3,Analytics Pro,APAC,31.4
T001980,P3,Analytics Pro,AMER,43.2
T001981,P3,Core Suite,APAC,48.1
T001982,P2,Core Suite,AMER,16.6
T001983,P3,Core Suite,EMEA,54
T001984,P3,Analytics Pro,EMEA,54.9
T001985,P3,Core Suite,AMER,39
T001986,P3,Core Suite,AMER,28.2
T001987,P3,Automation Edge,AMER,45.2
T001988,P3,Analytics Pro,APAC,50.6
T001989,P3,Core Suite,AMER,43.5
T001990,P2,Automation Edge,APAC,22.3
T001991,P2,Automation Edge,AMER,24.6
T001992,P3,Analytics Pro,AMER,47.7
T001993,P2,Automation Edge,AMER,15.5
T001994,P2,Automation Edge,APAC,20.5
T001995,P3,Automation Edge,AMER,25
T001996,P3,Core Suite,EMEA,25.9
T001997,P2,Core Suite,EMEA,23.2
T001998,P2,Automation Edge,AMER,10.6
T001999,P3,Core Suite,AMER,53.4
T002000,P3,Core Suite,EMEA,41.6
T002001,P3,Core Suite,AMER,27.3
T002002,P3,Core Suite,EMEA,41.8
T002003,P2,Automation Edge,AMER,16.9
T002004,P2,Automation Edge,AMER,11.5
T002005,P3,Automation Edge,AMER,35
T002006,P3,Core Suite,EMEA,30.3
T002007,P2,Analytics Pro,AMER,21.9
T002008,P3,Core Suite,AMER,46.2
T002009,P1,Automation Edge,APAC,7.3
T002010,P1,Core Suite,AMER,6.7
T002011,P2,Analytics Pro,AMER,9.3
T002012,P3,Analytics Pro,APAC,37.7
T002013,P2,Analytics Pro,APAC,13.9
T002014,P3,Analytics Pro,EMEA,37.8
T002015,P1,Analytics Pro,EMEA,5.1
T002016,P2,Core Suite,EMEA,16.6
T002017,P3,Core Suite,APAC,39.6
T002018,P3,Analytics Pro,EMEA,47.3
T002019,P3,Automation Edge,AMER,33.6
T002020,P2,Analytics Pro,AMER,17.3
T002021,P3,Analytics Pro,EMEA,51.3
T002022,P2,Core Suite,EMEA,13.9
T002023,P2,Automation Edge,EMEA,18.3
T002024,P3,Core Suite,AMER,24.5
T002025,P3,Analytics Pro,AMER,41.6
T002026,P3,Automation Edge,EMEA,24
T002027,P2,Analytics Pro,EMEA,28.1
T002028,P1,Analytics Pro,AMER,5.8
T002029,P1,Automation Edge,AMER,5.3
T002030,P3,Analytics Pro,APAC,25.4
T002031,P3,Automation Edge,APAC,39.2
T002032,P3,Core Suite,EMEA,38
T002033,P2,Core Suite,EMEA,13.9
T002034,P2,Automation Edge,APAC,13.2
T002035,P3,Analytics Pro,AMER,39.9
T002036,P3,Automation Edge,AMER,42.9
T002037,P2,Core Suite,AMER,11.9
T002038,P3,Core Suite,AMER,33.9
T002039,P1,Core Suite,AMER,4.8
T002040,P3,Core Suite,EMEA,33.7
T002041,P3,Core Suite,AMER,47.8
T002042,P3,Analytics Pro,APAC,37.2
T002043,P3,Analytics Pro,APAC,25.1
T002044,P2,Core Suite,AMER,12.2
T002045,P3,Analytics Pro,APAC,51.5
T002046,P3,Analytics Pro,EMEA,47
T002047,P3,Automation Edge,AMER,31.6
T002048,P3,Automation Edge,AMER,31
T002049,P1,Analytics Pro,APAC,6.7
T002050,P3,Core Suite,AMER,46.2
T002051,P3,Core Suite,EMEA,22.5
T002052,P3,Core Suite,APAC,23.9
T002053,P3,Core Suite,EMEA,35.1
T002054,P3,Core Suite,AMER,23.3
T002055,P3,Core Suite,AMER,32.3
T002056,P3,Analytics Pro,AMER,38.5
T002057,P3,Core Suite,EMEA,26.1
T002058,P3,Automation Edge,APAC,40.6
T002059,P3,Core Suite,AMER,21.1
T002060,P3,Analytics Pro,EMEA,38.8
T002061,P2,Core Suite,AMER,26.9
T002062,P3,Automation Edge,AMER,37.7
T002063,P3,Core Suite,AMER,31.6
T002064,P3,Analytics Pro,AMER,33.1
T002065,P3,Analytics Pro,AMER,32.9
T002066,P1,Core Suite,EMEA,6.9
T002067,P2,Analytics Pro,EMEA,13.6
T002068,P3,Core Suite,AMER,36
T002069,P3,Analytics Pro,EMEA,55.2
T002070,P2,Core Suite,AMER,10.6
T002071,P3,Automation Edge,EMEA,31.1
T002072,P3,Automation Edge,AMER,53.6
T002073,P3,Core Suite,APAC,18.3
T002074,P3,Analytics Pro,EMEA,30.1
T002075,P3,Analytics Pro,AMER,26.5
T002076,P3,Core Suite,EMEA,39
T002077,P3,Core Suite,AMER,51.7
T002078,P3,Analytics Pro,EMEA,51.3
T002079,P3,Analytics Pro,APAC,45.7
T002080,P3,Core Suite,EMEA,34
T002081,P3,Core Suite,EMEA,31.6
T002082,P3,Core Suite,AMER,29.8
T002083,P3,Analytics Pro,EMEA,50.2
T002084,P2,Automation Edge,AMER,15.1
T002085,P3,Automation Edge,EMEA,42.8
T002086,P1,Core Suite,EMEA,5.2
T002087,P3,Core Suite,AMER,20.6
T002088,P1,Core Suite,AMER,6.7
T002089,P3,Analytics Pro,EMEA,56.4
T002090,P2,Analytics Pro,AMER,16.8
T002091,P2,Analytics Pro,AMER,10.4
T002092,P2,Analytics Pro,AMER,22.8
T002093,P3,Core Suite,AMER,33.1
T002094,P3,Core Suite,EMEA,46.1
T002095,P2,Core Suite,APAC,25.3
T002096,P2,Analytics Pro,AMER,18.9
T002097,P1,Core Suite,AMER,7.4
T002098,P2,Analytics Pro,AMER,10.7
T002099,P3,Core Suite,AMER,20.3
T002100,P3,Analytics Pro,EMEA,23.4
T002101,P3,Automation Edge,AMER,42.6
T002102,P3,Automation Edge,APAC,33.6
T002103,P2,Automation Edge,AMER,16.1
T002104,P3,Automation Edge,AMER,45
T002105,P3,Analytics Pro,AMER,32.6
T002106,P1,Core Suite,EMEA,6.3
T002107,P2,Analytics Pro,AMER,25.4
T002108,P3,Core Suite,EMEA,23.9
T002109,P2,Core Suite,AMER,21.3
T002110,P2,Analytics Pro,EMEA,10.7
T002111,P2,Analytics Pro,AMER,21.7
T002112,P3,Core Suite,AMER,42
T002113,P2,Analytics Pro,AMER,24.2
T002114,P3,Core Suite,APAC,52.9
T002115,P2,Core Suite,APAC,24.2
T002116,P3,Analytics Pro,AMER,21.5
T002117,P3,Core Suite,EMEA,35.2
T002118,P3,Analytics Pro,EMEA,26.8
T002119,P2,Analytics Pro,APAC,24.3
T002120,P3,Analytics Pro,EMEA,44.8
T002121,P3,Automation Edge,APAC,18
T002122,P3,Analytics Pro,AMER,27.9
T002123,P3,Analytics Pro,EMEA,38.4
T002124,P2,Analytics Pro,APAC,19.9
T002125,P3,Core Suite,AMER,43.8
T002126,P2,Core Suite,AMER,24.6
T002127,P3,Core Suite,AMER,20.4
T002128,P1,Analytics Pro,APAC,4
T002129,P2,Analytics Pro,EMEA,13.5
T002130,P3,Analytics Pro,AMER,41.4
T002131,P3,Analytics Pro,APAC,28.9
T002132,P3,Analytics Pro,AMER,20.4
T002133,P3,Automation Edge,AMER,50.2
T002134,P3,Automation Edge,APAC,31
T002135,P2,Automation Edge,AMER,26.7
T002136,P2,Automation Edge,AMER,12.5
T002137,P2,Core Suite,AMER,17.1
T002138,P3,Core Suite,AMER,49.6
T002139,P3,Automation Edge,AMER,24.8
T002140,P3,Core Suite,APAC,32.9
T002141,P3,Analytics Pro,EMEA,48.6
T002142,P3,Core Suite,AMER,23.1
T002143,P3,Automation Edge,APAC,23.1
T002144,P3,Analytics Pro,APAC,53.4
T002145,P3,Core Suite,AMER,45.9
T002146,P3,Core Suite,EMEA,42.7
T002147,P2,Analytics Pro,APAC,23.9
T002148,P3,Analytics Pro,AMER,32.4
T002149,P3,Core Suite,AMER,22.9
T002150,P3,Automation Edge,AMER,53.8
T002151,P1,Analytics Pro,EMEA,5.5
T002152,P3,Analytics Pro,AMER,30.4
T002153,P3,Automation Edge,APAC,50.8
T002154,P1,Core Suite,APAC,5.9
T002155,P3,Analytics Pro,AMER,20.7
T002156,P2,Core Suite,AMER,11.1
T002157,P3,Automation Edge,AMER,18.8
T002158,P3,Analytics Pro,AMER,44.4
T002159,P3,Analytics Pro,AMER,30.3
T002160,P2,Analytics Pro,EMEA,24.8
T002161,P2,Automation Edge,AMER,16.5
T002162,P3,Automation Edge,AMER,48.5
T002163,P2,Core Suite,APAC,14.2
T002164,P2,Core Suite,EMEA,12.1
T002165,P3,Analytics Pro,APAC,26.2
T002166,P3,Analytics Pro,APAC,32.7
T002167,P3,Core Suite,APAC,23.6
T002168,P3,Core Suite,AMER,29.8
T002169,P2,Core Suite,EMEA,21.1
T002170,P3,Automation Edge,AMER,49
T002171,P3,Core Suite,APAC,31.2
T002172,P2,Core Suite,EMEA,10.2
T002173,P3,Core Suite,EMEA,40.9
T002174,P3,Core Suite,EMEA,23.3
T002175,P2,Core Suite,AMER,13
T002176,P2,Analytics Pro,AMER,12.3
T002177,P3,Analytics Pro,AMER,23.7
T002178,P3,Analytics Pro,AMER,31
T002179,P3,Core Suite,EMEA,38.9
T002180,P2,Core Suite,AMER,24.4
T002181,P3,Analytics Pro,AMER,34.3
T002182,P3,Automation Edge,EMEA,42.4
T002183,P1,Core Suite,AMER,5.1
T002184,P2,Analytics Pro,AMER,12.6
T002185,P2,Automation Edge,AMER,11.6
T002186,P3,Analytics Pro,EMEA,52.8
T002187,P3,Analytics Pro,AMER,30.2
T002188,P2,Automation Edge,APAC,16
T002189,P2,Analytics Pro,AMER,9
T002190,P3,Core Suite,EMEA,24.3
T002191,P2,Core Suite,AMER,24.8
T002192,P2,Core Suite,EMEA,14
T002193,P3,Analytics Pro,AMER,40.8
T002194,P3,Core Suite,EMEA,32.7
T002195,P2,Analytics Pro,AMER,21.3
T002196,P3,Core Suite,APAC,45.4
T002197,P3,Analytics Pro,AMER,47
T002198,P1,Automation Edge,APAC,6.5
T002199,P3,Core Suite,EMEA,54.8
T002200,P3,Core Suite,AMER,48.7
T002201,P2,Analytics Pro,APAC,13.2
T002202,P3,Core Suite,EMEA,36
T002203,P3,Analytics Pro,AMER,46.7
T002204,P3,Analytics Pro,APAC,46
T002205,P1,Automation Edge,EMEA,4.1
T002206,P2,Automation Edge,APAC,10.6
T002207,P2,Analytics Pro,AMER,12.8
T002208,P3,Core Suite,EMEA,23.4
T002209,P1,Automation Edge,AMER,6.4
T002210,P3,Analytics Pro,EMEA,51.3
T002211,P2,Core Suite,AMER,9.8
T002212,P3,Core Suite,AMER,30.2
T002213,P3,Analytics Pro,AMER,52.8
T002214,P3,Core Suite,AMER,20.5
T002215,P3,Core Suite,AMER,27
T002216,P3,Analytics Pro,AMER,23.1
T002217,P3,Core Suite,AMER,49.1
T002218,P3,Automation Edge,APAC,38.8
T002219,P2,Automation Edge,EMEA,11.2
T002220,P3,Automation Edge,AMER,27
T002221,P2,Automation Edge,EMEA,11.5
T002222,P3,Core Suite,AMER,25.1
T002223,P2,Core Suite,AMER,11.4
T002224,P3,Analytics Pro,APAC,37.6
T002225,P3,Analytics Pro,AMER,22.1
T002226,P3,Core Suite,AMER,35
T002227,P3,Core Suite,EMEA,50.1
T002228,P2,Core Suite,AMER,15.9
T002229,P3,Automation Edge,AMER,32.8
T002230,P2,Automation Edge,EMEA,13.1
T002231,P3,Core Suite,EMEA,42.9
T002232,P2,Core Suite,AMER,17.5
T002233,P3,Core Suite,AMER,44.6
T002234,P2,Core Suite,APAC,24
T002235,P2,Automation Edge,AMER,16.6
T002236,P3,Analytics Pro,APAC,28.7
T002237,P2,Core Suite,EMEA,23
T002238,P2,Automation Edge,AMER,18.5
T002239,P3,Automation Edge,AMER,26.9
T002240,P3,Core Suite,AMER,46.6
T002241,P2,Core Suite,EMEA,19
T002242,P2,Analytics Pro,AMER,20.7
T002243,P3,Analytics Pro,AMER,20.8
T002244,P3,Core Suite,AMER,22.1
T002245,P3,Core Suite,APAC,40.2
T002246,P3,Core Suite,EMEA,24.9
T002247,P3,Automation Edge,AMER,52.2
T002248,P2,Automation Edge,AMER,17.1
T002249,P3,Analytics Pro,APAC,32.5
T002250,P2,Core Suite,EMEA,15.7
T002251,P3,Analytics Pro,AMER,52.3
T002252,P2,Automation Edge,AMER,16.2
T002253,P2,Core Suite,AMER,10.6
T002254,P3,Analytics Pro,EMEA,33.1
T002255,P3,Automation Edge,AMER,34.4
T002256,P3,Analytics Pro,EMEA,35.3
T002257,P1,Analytics Pro,AMER,4.4
T002258,P3,Core Suite,EMEA,41.5
T002259,P3,Core Suite,EMEA,46.8
T002260,P3,Automation Edge,EMEA,23.5
T002261,P3,Analytics Pro,EMEA,37.8
T002262,P3,Analytics Pro,EMEA,32.2
T002263,P2,Analytics Pro,AMER,17.4
T002264,P3,Automation Edge,AMER,43.3
T002265,P3,Analytics Pro,EMEA,49.1
T002266,P2,Automation Edge,EMEA,20.4
T002267,P3,Analytics Pro,AMER,19.5
T002268,P1,Core Suite,EMEA,6.8
T002269,P3,Core Suite,AMER,44.6
T002270,P3,Analytics Pro,APAC,22.7
T002271,P3,Core Suite,EMEA,50.1
T002272,P3,Analytics Pro,AMER,38.9
T002273,P3,Analytics Pro,AMER,33.2
T002274,P1,Analytics Pro,AMER,7.3
T002275,P3,Core Suite,AMER,25
T002276,P3,Analytics Pro,EMEA,54.3
T002277,P3,Analytics Pro,AMER,44.8
T002278,P3,Automation Edge,AMER,35.6
T002279,P1,Core Suite,EMEA,7.6
T002280,P3,Analytics Pro,AMER,51.4
T002281,P1,Core Suite,AMER,7.8
T002282,P2,Analytics Pro,AMER,12
T002283,P3,Analytics Pro,AMER,30.4
T002284,P2,Core Suite,EMEA,23.8
T002285,P3,Automation Edge,APAC,50.3
T002286,P3,Analytics Pro,EMEA,31.5
T002287,P3,Analytics Pro,AMER,32.4
T002288,P3,Core Suite,AMER,19.2
T002289,P3,Core Suite,AMER,24.3
T002290,P3,Core Suite,APAC,27.9
T002291,P2,Analytics Pro,AMER,20.9
T002292,P3,Analytics Pro,EMEA,55.5
T002293,P2,Core Suite,AMER,19.6
T002294,P3,Analytics Pro,AMER,29.1
T002295,P3,Analytics Pro,APAC,39.7
T002296,P2,Automation Edge,AMER,12.3
T002297,P3,Analytics Pro,AMER,21.9
T002298,P3,Automation Edge,AMER,19.3
T002299,P3,Automation Edge,EMEA,42.5
T002300,P3,Analytics Pro,AMER,45
T002301,P2,Analytics Pro,AMER,15
T002302,P3,Core Suite,AMER,23.3
T002303,P3,Analytics Pro,AMER,26.4
T002304,P3,Core Suite,EMEA,43.9
T002305,P2,Core Suite,AMER,15.6
T002306,P2,Analytics Pro,AMER,19
T002307,P3,Automation Edge,EMEA,32.2
T002308,P3,Automation Edge,AMER,31.3
T002309,P3,Core Suite,AMER,32.2
T002310,P3,Analytics Pro,AMER,30.6
T002311,P1,Analytics Pro,APAC,8.8
T002312,P2,Core Suite,AMER,27
T002313,P3,Core Suite,APAC,32.1
T002314,P2,Core Suite,AMER,23.4
T002315,P2,Automation Edge,EMEA,19.7
T002316,P2,Core Suite,APAC,10.5
T002317,P3,Analytics Pro,APAC,26.3
T002318,P3,Core Suite,EMEA,38.9
T002319,P2,Core Suite,EMEA,24.8
T002320,P2,Analytics Pro,AMER,10
T002321,P3,Analytics Pro,AMER,34.9
T002322,P2,Analytics Pro,AMER,23.3
T002323,P3,Core Suite,AMER,18.4
T002324,P3,Core Suite,AMER,42.9
T002325,P2,Core Suite,AMER,21.1
T002326,P1,Analytics Pro,APAC,3.1
T002327,P2,Analytics Pro,AMER,11.7
T002328,P3,Analytics Pro,AMER,48.8
T002329,P2,Analytics Pro,AMER,23.8
T002330,P2,Automation Edge,AMER,13.2
T002331,P3,Analytics Pro,APAC,21.3
T002332,P2,Core Suite,EMEA,14.1
T002333,P2,Core Suite,AMER,11.4
T002334,P2,Core Suite,EMEA,26.4
T002335,P2,Analytics Pro,AMER,23.3
T002336,P3,Core Suite,AMER,47.6
T002337,P2,Core Suite,APAC,26.3
T002338,P3,Analytics Pro,AMER,42.3
T002339,P3,Analytics Pro,AMER,35.8
T002340,P3,Core Suite,EMEA,24.2
T002341,P2,Core Suite,AMER,12.9
T002342,P3,Core Suite,AMER,32.6
T002343,P2,Analytics Pro,EMEA,21.6
T002344,P2,Analytics Pro,APAC,19.3
T002345,P1,Core Suite,AMER,5.4
T002346,P1,Automation Edge,AMER,7.4
T002347,P3,Automation Edge,AMER,36.4
T002348,P1,Analytics Pro,AMER,7.9
T002349,P2,Core Suite,AMER,9
T002350,P2,Analytics Pro,APAC,13.5
T002351,P3,Analytics Pro,APAC,28.9
T002352,P3,Core Suite,APAC,36.6
T002353,P3,Core Suite,AMER,28.4
T002354,P1,Analytics Pro,AMER,3.4
T002355,P3,Analytics Pro,EMEA,39.5
T002356,P3,Core Suite,APAC,30.6
T002357,P2,Analytics Pro,EMEA,9.6
T002358,P3,Analytics Pro,AMER,36
T002359,P3,Automation Edge,AMER,23.3
T002360,P3,Analytics Pro,APAC,47.6
T002361,P2,Core Suite,AMER,12.2
T002362,P2,Analytics Pro,APAC,26.8
T002363,P2,Analytics Pro,EMEA,14.2
T002364,P3,Core Suite,AMER,33.9
T002365,P3,Core Suite,AMER,24.2
T002366,P2,Analytics Pro,EMEA,23.5
T002367,P2,Core Suite,AMER,20.5
T002368,P3,Analytics Pro,AMER,41.2
T002369,P2,Core Suite,EMEA,24.7
T002370,P2,Automation Edge,EMEA,14.2
T002371,P2,Analytics Pro,AMER,12.3
T002372,P3,Core Suite,EMEA,34.1
T002373,P3,Automation Edge,EMEA,55.8
T002374,P3,Automation Edge,AMER,39.4
T002375,P1,Analytics Pro,APAC,8.7
T002376,P3,Automation Edge,AMER,24.2
T002377,P2,Analytics Pro,APAC,19.6
T002378,P3,Core Suite,APAC,42.9
T002379,P3,Analytics Pro,AMER,22.3
T002380,P3,Core Suite,APAC,27.9
T002381,P3,Core Suite,AMER,25.9
T002382,P2,Automation Edge,AMER,25.2
T002383,P3,Core Suite,AMER,29
T002384,P3,Analytics Pro,AMER,22.2
T002385,P2,Analytics Pro,AMER,14.9
T002386,P3,Automation Edge,EMEA,19.5
T002387,P2,Automation Edge,EMEA,23.1
